time,text,mode,size,color,user,dmid,likes
1066.549,最强早市,5,25,10546688,cb72e77f,1312564106980999424,0
1017.924,上好的豆芽，买些吧,1,25,16777215,cb72e77f,1312563699286063104,0
1505.394,俺也一样,1,25,16777215,f2e03910,1312558170983411968,0
1780.53,有特效没有,1,25,16777215,e6056f9b,1312557775251229696,0
1867.94,我等受观音菩萨点化，去往西天拜佛求经,5,25,15138834,e374136a,1312550378755381760,0
1082.172,黄巾不能用猖獗吧，那是老百姓的呼声啊,1,25,16777215,863fef48,1312547874898438912,0
276.795,公公嗦了蒜,1,25,16777215,66e89444,1312546952780851712,0
1436.603,白嫖啊这是,1,25,16777215,54e1134e,1312542381157062656,0
1504.104,俺也一样！,1,25,16777215,f071a09f,1312542061626864384,0
1511.123,泰裤辣,1,25,16777215,bd60b5db,1312540485079931904,0
1402.606,电信诈骗,1,25,16777215,bd60b5db,1312539333282331648,0
349.62,雷公助我,1,25,9487136,b5b4b688,1312524810781481472,0
346.46,苍天已死,1,25,16777215,b5b4b688,1312524574793033472,0
1579.282,文件,1,25,16777215,bac8a9b7,1312522156173070080,0
358.444,你张角爷爷在此！,1,25,16777215,f071a09f,1312518743485579520,0
211.405,那么问题来了 桃园三是和谁结义的,1,25,16777215,f071a09f,1312517510335452672,0
149.939,重温经典,1,25,16777215,7e5f0266,1312516182879840000,0
1422.18,哈哈哈,1,25,16777215,bfd7834a,1312515256492346368,0
1411.115,一笔写不出两个贾字,1,25,16777215,698169d7,1312513907210229760,0
1885.557," yes, n  n       ",1,25,16777215,7b41e67e,1312513310293595392,0
1402.15,张飞：俺成投资人了,1,25,16777215,698169d7,1312513290798206464,0
190.105,俺也一样,1,25,16777215,dcc7659d,1312512273679730432,0
2264.799,灵帝不是公开卖官吗，曹操老爸的三公就是买的,1,25,16777215,74887361,1312510165580394496,0
1502.439,俺也一样,1,25,16777215,cb4938f7,1312500546003179265,0
1474.919,这两个是UR品质武将,1,25,16777215,cb4938f7,1312500253534349312,0
1238.044,刘宏时刘氏宗族族长刘宽死后被评为昭烈,1,25,16777215,528e590a,1312497996864450048,0
1513.025,名场面来了,1,25,16777215,af00c703,1312497208830405632,0
771.316,哈哈哈,1,25,16777215,a12c6e87,1312493442194448896,0
740.797,呀！,1,25,16777215,a12c6e87,1312493154146106112,0
388.196,飒,1,25,16777215,a12c6e87,1312490428142048000,0
388.196,飒,1,25,16777215,a12c6e87,1312490160042259200,0
2432.059,我现在发现这个可能是个喜剧哈哈哈,1,25,16777215,85583cc1,1312489848044812032,0
2764.042,陆树铭老师，李靖飞老师，一路走好,5,25,16777215,30aa1391,1312486190939082496,0
939.26,强手裂颅（狗头）,1,25,16777215,2c326724,1312485371011008256,0
1595.333,飞飞真是憨憨哈哈哈哈,1,25,16777215,85583cc1,1312485169273264128,0
1552.308,笑死我了,1,25,16777215,85583cc1,1312484928931431168,0
391.996,雷公助我,1,25,16777215,7861e46a,1312481672742295552,0
377.066,以我之真气，和天地之造化,1,25,16777215,7861e46a,1312481548011984640,0
354.896,白骨露于野，千里无鸡鸣,1,25,16777215,7861e46a,1312481360929482240,0
2581.18,刘大人一走 百姓该成出气桶了,1,25,16777215,331cd2a5,1312468523163033344,0
789.986,古代屠夫的地位不算低的,1,25,16777215,382f56cb,1312460596297692416,0
175.442,二刷,1,25,16777215,3766b003,1312455140246508288,0
7.648,二刷！,1,25,16777215,3766b003,1312453130369328640,0
332.714,汉灵帝实权皇帝，世家宦官外戚都掌握了，只是继承人没立嫡长子,1,25,16777215,489dcb06,1312449767359769600,0
1537.617,大弟三哥,1,25,16777215,791262d0,1312447662087407616,0
26.436,没人？,1,25,16777215,d63a183,1312447552188129536,0
1018.1,俺颇有家资,1,25,16777215,9e33f8dc,1312439805367476480,0
926.549,刘备来空手套白狼了,1,25,16777215,399ef9db,1312438821107177984,0
1567.014,俺也一样，噗嗤,1,25,16777215,fdb41714,1312436053109437696,0
